Author,Author Description,Publication Date,Votes,Review
Ryan Wilcox,Studied at Rochester Institute of Technology,2018,58,"From the perspective of a developer who’s been around the block a few times, Agile has some weaknesses.
Most of these sound like big enterprise problems, but you’d be surprised how often they creep up into even small companies.
It can make human problems more apparent (at least to developers on a team): That team that’s in pure firefighting mode all the time because their boss can’t make up their mind for more than a week - or can’t shelter team from external demands for more than a week). The director level person that manages only by looking at charts that go up-and-to-the-right. The product person that plays “blame the developer” when a feature comes out exactly as they asked but doesn’t give good user experience in the real world (“forget about iterating, we pay you all too much to do that, you should read my mind”). The micromanager that turns the 5 minute daily standup into an hour long thing.
If departments in the organization didn’t talk to each other before, making the developers work in 2 week increments won’t help. In some cases that will mean the developers will outpace the other departments… which is great, but as a developer it’s demoralizing to, 3 weeks after I thought I put a feature to bed, to start getting bug reports on it.
Large organizations try to fit the “2 week iteration” thing into departments where it just doesn’t belong. Your customer support team shouldn’t be doing 2 week iterations, they are a team that reacts to events. But large organizations really want a unified management approach sometimes…
Doing R&D in an Agile organization is hard. “Why can’t you - our one special Innvoation Platform Transformation team - give me estimates and a backlog that details how long this project will take, like the other engineering teams can, kinda?” Putting aside the problems in most of that statement, if you’re in a team that is say using tech unfamiliar to any of the team members and even the rest of the organization, well sometimes there won’t be a nice burndown chart at the end of the sprint, or 5 sprints ahead planned out with every single task. (Yes! Also “not Agile”! But that’s the cultural expectation that evolves all or most of the time!)
Sometimes deveolper problems aren’t boiled up with the respect they deserve. Product people winning the “what goes on this sprint” contest all the time, so broken things aren’t fixed. Developers knowing their organization is broken (“Standups shouldn’t be 1 hour long”) and not getting listened to. Agile implementations theoretically should adapt to what works well for the team, but too often that always means, “The developers should adjust in this way - maybe with more meetings!”. Sure, sometimes that’s fine… but also sometimes the boots on the ground have a point.
Agile is… non-obvious how to scale in the large. If you have 10 Agile teams that need to talk to each other because they are part of a massive release of software… even in 2018 we’re only _starting_ to understand how to do that. How you manage 70–100 developers, say nothing of 700–1000 developers? Only certain organizations have these problems, but this is an actual problem with Agile, not just a cultural problem with organizations running or adopting Agile.
In short: “Agile” isn’t Magic Fairy Dust you can sprinkle on your org and have its people and organizational problems disappear… (But some people think it is, because the marketing is good…)"
Emily Hilton,"Former Blockchain Enthusiast, Business Consultant",2022,78,"Hello,
Let us discuss about agile methodology and the advantages and disadvantages of agile methodology:
An agile methodology is a project management practice that promotes a collaborative, iterative and incremental approach to project management.
It is said to be agile because it estimates both your initial needs and those generated by future changes.
Agile Methodology is a process of software development (such as other software development methodologies – waterfall model, V-model, iterative model, etc.), however, the Agile development model is also a type of incremental model.
Software develops in incremental, rapid cycles. In English, Agile means ‘the ability to move quickly and easily’ and respond to change rapidly – this is an important aspect of Agile software development.
Advantages of Agile Methodology :
In Agile methodology the delivery of software is unremitting.
The customers are satisfied because after every Sprint working feature of the software is delivered to them.
Customers can have a look of the working feature which fulfilled their expectations.
If the customers has any feedback or any change in the feature then it can be accommodated in the current release of the product.
In Agile methodology the daily interactions are required between the business people and the developers.
In this methodology attention is paid to the good design of the product.
Changes in the requirements are accepted even in the later stages of the development.
An Agile/Scrum approach can improve organizational synergy by breaking down organizational barriers and developing a spirit of trust and partnership around organizational goals.
Disadvantages of the Agile Methodology :
In Agile methodology the documentation is less.
Sometimes in Agile methodology the requirement is not very clear hence it’s difficult to predict the expected result.
In few of the projects at the starting of the software development life cycle it’s difficult to estimate the actual effort required.
Because of the ever-evolving features, there is always a risk of the ever-lasting project.
For complex projects, the resource requirement and effort are difficult to estimate.
If you want to make a career into agile scrum foundation then I personally recommend you to do agile scrum foundation certification GSDC Certification
If you're looking for a better career I personally suggest to go for agile and scrum foundation certification training online
If you are wondering where to begin this journey? Then you should check the agile scrum certification
As I have one reference for a agile scrum foundation certification I found one course on google they provide certificates
The certification cost is also affordable here.
The agile scrum foundation certification cost $200. This certification is from GSDC. You can check the syllabus on their official websites.
Cost : $200
Location: Online
The GSDC certification bodies provide courses online and it is valid and accepted globally.
Many of the reputed company employees have done this courses from here and give good responses
To get this certification you have to pass the agile scrum foundation certification Exam from GSDC Institution.
GSDC is globally accredited Agile Scrum Foundation certification validates your knowledge in Agile methodologies and Scrum practices.
The purpose of agile and scrum certification qualification is to confirm that a candidate has sufficient knowledge and understanding of the benefits of this certification.
Grab our year ending delight just in $ 200 and see yourself upskilled before 2022 hits you hard!
Hurry up! This limited period offer is valid till the 31st of this month only."
Szabi Kisded,"Founder, WordPress Plugin Developer & Blogger at CodeRevolution (2018–present)",2019,1,"The Agile Method is a particular approach to project management that is utilized in software development. This method assists teams in responding to the unpredictability of constructing software. It uses incremental, iterative work sequences that are commonly known as sprints.
Advantages of Agile Methods are:
1. light weight
2. They are people based rather than plan based
3. It promotes interactions between individuals over processes and tools
4. Developers working software rather than comprehensive documentation
5. Customer collaboration over contract negotiation
6. Responding to change over following a plan"
Justin Jackson,founder of MegaMaker,2014,8,"Agile actually defines a group of methodologies that share a similar philosophy (originally defined in the 2001 Manifesto for Agile Software Development).
A core tenet of agile development is to work in short iterations, or sprints. After each sprint, the team should have produced a small new iteration (incremental release). At this point the team can also re-evaluate it's current direction, and make changes if needed.
Other characteristics common to most agile methodologies:

Specs (or requirements) are written simply, often in the format of a user story on a card:
(this screenshot is from Sprint.ly)
Participation of stakeholder (or product owner) in the process
Finish work on one feature before moving on to the next
Lots of team collaboration and cooperation, and strong sense of ownership
Testing is done throughout the process
Types of agile methodologies
Scrum - one of the best known agile methodologies. Illustrated Scrum reference PDF
Lean - adopts lean manufacturing principles for software development. Lean Software Development
Kanban - there are 3 core characteristics: visualize your workflow, limit work-in-progress, prioritize backlog. People following Kanban, will often use a Kanban board that looks like this:
(Blank Kanban board with 3 columns: Backlog, Current, Complete. [Source])
Extreme Programming (XP) - controversial agile practice. Agile Software Development: What is extreme programming?"
Ashwin Chandrasekaran,"Scrum practitioner, PMI-ACP, Blogs at http://breatheagile.net",2017,1,"Agile shifts the focus of project management from cost and schedule to delivering value to customer.
How is it done?
Customer Collaboration - All Agile methods encourage customer involvement in all stages of a project. This makes frequent reviews and feedback cycles possible
Incremental Delivery - By developing and delivering features in short cycles, the customer can see the evolution of the final product. This makes course corrections possible in a regular fashion rather than at the end of a project
Continuous Improvement - Using various practices like Retrospective meetings, Agile enables the team to look back frequently and adjust the process as needed
Team Ownership - Agile encourages the team to own their plan, design and commitment to delivery. The responsibility of meeting the project goals shifts from project manager to developers
Quality Focus - Short iterations don’t mean the absence of testing. Agile methods enforce every increment to be well tested
Unambiguous Requirements - Using techniques like User Stories and Epics/Themes, Agile makes the creation and understanding of requirements much easier than traditional BRMs
In short, Agile is a different and more pragmatic way to approach project management."
Noah Jonas,Technical Content Creator & Researcher,2023,78,"In the modern digitalized world, the majority of software development companies follow agile methodology for achieving a more seamless and efficient development process. The agile software development methodology is different from the waterfall as it puts focus on developing software in an incremental and rapid cycle. Thus, for a project which involves repetitive in-between feature additions by the client, this particular methodology can ensure enough flexibility to complete it and deliver it within the specified deadline.
Advantages of opting for agile development methodology:
Increase internal interactions between testers, developers, and business people.
Shifts in the client's needs can still be taken into consideration even at the later stage of development.
The delivery of software is continuous under the Agile methodology.
Good product design is the top priority.
Flaws of agile software development methodology:
The resource requirements and effort required for complicated projects are difficult to estimate.
It is impossible to estimate the actual work required in a few projects at the beginning of the software development life cycle.
Challenge to predict the final outcome as the requirement keeps changing over time.
To know more about agile software development you can read the blog.
Agile Software Development: Best Practices, Challenges, and Solutions - Apptread
Agile methodology in software development projects helps in assuring the timely delivery of highly enhanced software solutions and 100% client satisfaction.
https://apptread.com/blog/agile-software-development-best-practices-challenges-and-solutions/"
Vikash Kodati,"10+ years of exp using Agile methodology. Helped Ameriprise, UHC be successful",2015,3,"That is a broad question. I am sure you will find the specifics online but I ll help you understand the broader stroke. Its a structure that helps realize incremental business value quickly (allowing course corrections) and also lets each role consume the information it needs. The process itself is very flexible and leaves a lot of space of interpretation because of which there are more ""Agile-buts"" (look it up) than pure Agile teams. The important part is for all the team (Developers, BAs, Scrum Master, Business teams, Product Manager) to agree upon a common ground rather than trying to following something that is carved in stone.
We follow a rule that an agile team (developers mainly) should not be larger than what 2 large pizzas can feed :)."
Robert Merrill,Agile project estimator and agile adoption coach since 2004,2016,1,"Agile and its various flavors have been thoroughly defined, so I have nothing to add there.
I think agile's decisive advantage is that it is much more forgiving of estimation errors. When we commit to projects, we do so with the belief that:
The results will be worth more than they cost, and
Cost (nearly always) and time (often) won't exceed constraints.
The go/no decision rests on estimates of cost, duration, and value. These estimates have large (2x-4x or more) ranges, and additional up-front work often doesn't reduce these ranges very much.
By putting the estimation uncertainty in the scope of what will be delivered, and maximizing the value of that as we go, agile eliminates nearly all estimation-related risk."
The Next Tech,Works at The Next Tech (2018–present),2023,54,"In API tests, developers use load testing to understand how an API performs with the increased number of calls. This test helps the development team to agree on whether the product can meet certain real-life expectations under a high load.
You can call it “Security Test 2.0” because this process is the next level of security testing. In this type, the testers analyze different attacks on API from an outsider’s point of view. This helps them to design better security for the product.
Security Testing gives the Dev team an overview of how the API will perform against cyberattacks. The process tests an API’s encryption methods and checks how it behaves with permissions and access controls.
The general idea of UI testing is to check whether the API or other integral parts’ user interface is running correctly. In terms of the codebase, UI testing is not a significant part of API testing. However, this process helps measure the health and efficiency of the app’s front-end and back-end."
John Lee,Lived in The United States of America,2020,3,"5 Key Disadvantages of Agile Methodology
Poor resource planning
Limited documentation
Fragmented output
No finite end
Difficult measurement"
Jaimi McEntire,Author has 4.4K answers and 7.6M answer views,2018,2,"The major benefits are that it makes your development more predictable, and there are always work items available, and work items have been recently discussed, so there is less misunderstanding, and constant review to make sure that the development effort matches the business needs.
The major disadvantages are that a sprint is uneven. The load is not balanced. At the beginning of a sprint, the QA team does not have enough work, at the end of the sprint, the development team is winding down, and the QA team has too much work. There are of course ways to address this - the development crew tests at the end, and the (canonical) suggestion is for QA to work on “test scripts” at the beginning. But these have their own issues. Because a team has to bid to complete items, and the sprint is seen as unsuccessful if they do not complete the items, there is a tendency to underbid and sandbag (letting the work fill the time), leading to a decrease in productivity. Even though this is an effort to give developers more say in what and how they work, the constant review and discussion gives some developers the feeling that they are being micro-managed.
We’re an agile team, and we’ve addressed all these issues in various ways, and overall we’re more productive than we were before the switch to agile."
