Author,Author Description,Publication Date,Votes,Review
Jeff Nelson,Invented Chromebook,2015,110,"My main criticism of Agile is that it's become such an all-inclusive term for so many different methodologies.
Scrum is Agile.
Test-driven development is Agile.
Pair programming is Agile.
Open-ended specification is Agile.
It's not a stretch to say even management-by-walking-around and Six Sigma have been relabeled as part of Agile.
Back in the 1990s, we had many terms for many methodologies, software and management. Now, every methodology is just called ""Agile""."
Sagar Rao,Studied Master of Science in Computer Science & Software Engineering (Graduated 2011),2022,0,"Photo by Sebastian Herrmann on Unsplash
Scrum is a modern software development framework. It is an agile methodology that promotes collaboration and transparency by using a cross-functional team approach. As a result, many companies have adopted it, and it has become the de facto standard in the industry.
Time-Conscious
The biggest drawback of the scrum process is that it is highly time-conscious. This means that, on top of the numerous other things that the team has to do, it has to keep track of what is due when, and it has to do this in a timely manner. Furthermore, during the sprint planning stage, the team has to work out how they will integrate all the tasks that they have lined up for themselves, and it also has to do this in a way that keeps the customers happy and the project on track.
Due to all of this, it is clear to see why some companies have resorted to using assistants to help with the planning and the execution of the project. Furthermore, since the task allocation is flexible, you can rest assured that the team will respect your time constraints, and they will ensure that all tasks are completed on time.
Not Suitable For Large Teams
The scrum process is not suitable for large teams. This is mainly because it was designed for smaller teams that are more agile. As a result, when large teams are brought in, they often try to operate in a more structured manner, which can either slow the process down or even put a stop to it altogether. Additionally, having too many cooks in the kitchen means that the food is often overcooked, and quality suffers.
If you are working in a team of more than 10 people, then it is recommended to split the team into smaller sub-teams. This is because, in practice, teams of 5-10 people are more effective and efficient, and it also helps improve quality. If you really want to take it to the next level, then you can even form mini-teams within the team, to tackle specific parts of the project, such as the client-side functionality, the server-side functionality, and so on.
Poor Hand-Off From Design To Development
One of the biggest drawbacks of the scrum process is that it is a very “siloed” process. This means that it is highly isolated, and there is very little cross-communication between the participants. In practice, this often leads to a poor hand-off from design to development. Especially when a team is new to the process, it is very difficult to know where to begin, and it can result in a lot of wasted time.
As a result of this, it is advisable to establish a good process for integrating design and development work, so that both parties know what is expected of them. In this way, everyone involved in the project will be able to act with more purpose and effectiveness. Furthermore, by having a better understanding of what is entailed in the project, both parties can take the necessary time to get everything right.
Limited Scope
One of the biggest drawbacks of the scrum process is that it has very limited scope. Especially when compared to other agile methodologies, like Kanban, the process is fairly linear and does not allow for a lot of “side-tracking”. For example, if you are only working on the user interface and the organization structure of the project, then you will have to either use a pre-existing database scheme or figure out how to structure the files yourself.
Additionally, since it is a fairly straightforward process, there is a limit to how much the team can actually achieve. Especially when working on larger projects, the team may run out of steam, and it can result in a poor quality product being delivered to the customer. Remember, a scrum project is only as good as the team's commitment to it, and if there are any slip-ups, then the customer may end up with a buggy product that is poorly engineered.
Conclusion
In conclusion, not all software development companies will benefit from this methodology. This is because, in some instances, scrum may not be the best fit for a specific project. As such, before adopting any kind of process, you must consider your needs and the project at hand."
Deepali Nagrani,"Lives in Bengaluru, Karnataka, India (2019–present)",2018,2,"Agile focuses on incremental delivery of client specified features.While slicing off a set of features for earlier release may prove beneficial but a lack of full visibility into overall requirements is often the cause of issue related to system behaviour, performance, capability and other crucial attributes.
Such problems typically require costly rework to retrofit important capabilities that weren't identified until the project was halfway through.
Agile projects poses a substantial risk that the team will move too quickly into iterative design and implementation,before the crucial features are sufficiently understood to support right architecture decisions.
There are problems that emerge due to poor architecture design that cannot be easily undone by refactoring.
If crucial aspects aren't acknowledged early on ,the chances are one or more important quality attribute will be ignored that isn't immediately visible and become incompatible with the initial architecture commitments.
This issue happens largely as a result of phenomenon of bounded rationality (A few supporting features that didn't make a cut turn out to be be essential to make the release truly useful).
To address this inherent challenge,all the additional capabilities must be included to complement most valuable feature."
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
N/A,N/A,N/A,0,N/A
